time_period,new_la_code,la_name,all_progressed,all_pscore
2015,E06000001,Hartlepool,61.92727272727273,4.636363636363637
2015,E06000002,Middlesbrough,63.42727272727273,9.090909090909092
2015,E06000003,Redcar and Cleveland,46.790909090909096,-3.0
2015,E06000004,Stockton-on-Tees,64.19090909090909,1.3636363636363635
2015,E06000005,Darlington,68.85454545454546,4.636363636363637
2015,E06000006,Halton,49.154545454545456,-4.363636363636363
2015,E06000007,Warrington,54.45454545454545,-4.0
2015,E06000008,Blackburn with Darwen,65.60000000000001,7.2727272727272725
2015,E06000009,Blackpool,66.06363636363636,7.2727272727272725
2015,E06000010,"Kingston upon Hull, City of",55.88181818181818,1.0909090909090908
2015,E06000011,East Riding of Yorkshire,56.27272727272727,0.6363636363636364
2015,E06000012,North East Lincolnshire,47.9,-6.2727272727272725
2015,E06000013,North Lincolnshire,48.054545454545455,-9.909090909090908
2015,E06000014,York,54.28181818181818,-3.909090909090909
2015,E06000015,Derby,59.54545454545455,0.8181818181818182
2015,E06000016,Leicester,67.54545454545455,8.363636363636363
2015,E06000017,Rutland,71.475,7.375
2015,E06000018,Nottingham,63.93636363636363,3.1818181818181817
2015,E06000019,"Herefordshire, County of",55.27272727272727,-6.545454545454546
2015,E06000020,Telford and Wrekin,58.06363636363637,-2.8181818181818183
2015,E06000021,Stoke-on-Trent,59.35454545454545,-0.18181818181818182
2015,E06000022,Bath and North East Somerset,54.27272727272727,-4.636363636363637
2015,E06000023,"Bristol, City of",56.83636363636364,-5.636363636363637
2015,E06000024,North Somerset,51.85454545454545,-5.2727272727272725
2015,E06000025,South Gloucestershire,48.28181818181818,-6.818181818181818
2015,E06000026,Plymouth,49.16363636363636,-6.2727272727272725
2015,E06000027,Torbay,52.08181818181818,-6.0
2015,E06000028,Bournemouth,63.525000000000006,-4.375
2015,E06000029,Poole,49.309090909090905,-7.909090909090909
2015,E06000030,Swindon,39.75454545454546,-13.727272727272727
2015,E06000031,Peterborough,51.72727272727273,-3.909090909090909
2015,E06000032,Luton,71.05454545454546,11.545454545454545
2015,E06000033,Southend-on-Sea,49.54545454545455,-7.818181818181818
2015,E06000034,Thurrock,54.190909090909095,-7.909090909090909
2015,E06000035,Medway,47.88181818181818,-8.0
2015,E06000036,Bracknell Forest,45.92727272727273,-10.272727272727273
2015,E06000037,West Berkshire,48.18181818181818,-8.636363636363637
2015,E06000038,Reading,65.3625,-4.5
2015,E06000039,Slough,65.92727272727272,6.363636363636363
2015,E06000040,Windsor and Maidenhead,54.64545454545455,-3.1818181818181817
2015,E06000041,Wokingham,69.0375,0.875
2015,E06000042,Milton Keynes,54.56363636363637,-0.6363636363636364
2015,E06000043,Brighton and Hove,56.972727272727276,-4.636363636363637
2015,E06000044,Portsmouth,42.980000000000004,-10.6
2015,E06000045,Southampton,47.93636363636363,-7.181818181818182
2015,E06000046,Isle of Wight,53.14545454545455,-0.7272727272727273
2015,E06000047,County Durham,50.5,-6.454545454545454
2015,E06000049,Cheshire East,55.92727272727273,-3.5454545454545454
2015,E06000050,Cheshire West and Chester,60.95454545454545,-0.6363636363636364
2015,E06000051,Shropshire,65.88181818181819,1.3636363636363635
2015,E06000052,Cornwall,52.45454545454545,-5.909090909090909
2015,E06000054,Wiltshire,55.07272727272727,-4.636363636363637
2015,E06000055,Bedford,53.472727272727276,-0.7272727272727273
2015,E06000056,Central Bedfordshire,54.845454545454544,-2.6363636363636362
2015,E06000057,Northumberland,48.027272727272724,-6.909090909090909
2015,E08000001,Bolton,63.472727272727276,5.818181818181818
2015,E08000002,Bury,63.56363636363637,8.181818181818182
2015,E08000003,Manchester,70.10000000000001,6.363636363636363
2015,E08000004,Oldham,69.92727272727274,6.545454545454546
2015,E08000005,Rochdale,53.63636363636363,-0.6363636363636364
2015,E08000006,Salford,45.47272727272727,-5.2727272727272725
2015,E08000007,Stockport,59.08181818181818,-5.7272727272727275
2015,E08000008,Tameside,53.83636363636364,-2.5454545454545454
2015,E08000009,Trafford,63.527272727272724,-1.7272727272727273
2015,E08000010,Wigan,62.31818181818182,-0.7272727272727273
2015,E08000011,Knowsley,47.6,-3.090909090909091
2015,E08000012,Liverpool,58.64545454545455,3.1818181818181817
2015,E08000013,St. Helens,60.81818181818182,-0.36363636363636365
2015,E08000014,Sefton,60.345454545454544,1.2727272727272727
2015,E08000015,Wirral,63.527272727272724,-0.9090909090909091
2015,E08000016,Barnsley,54.489999999999995,-0.1
2015,E08000017,Doncaster,47.32727272727273,-6.818181818181818
2015,E08000018,Rotherham,58.70909090909092,-1.8181818181818181
2015,E08000019,Sheffield,62.972727272727276,3.090909090909091
2015,E08000021,Newcastle upon Tyne,54.89090909090908,-0.7272727272727273
2015,E08000022,North Tyneside,61.91818181818182,1.8181818181818181
2015,E08000023,South Tyneside,57.22727272727273,1.0909090909090908
2015,E08000024,Sunderland,59.28181818181818,1.0
2015,E08000025,Birmingham,67.18181818181819,7.545454545454546
2015,E08000026,Coventry,59.709090909090904,5.454545454545454
2015,E08000027,Dudley,66.43636363636364,2.727272727272727
2015,E08000028,Sandwell,59.5,7.545454545454546
2015,E08000029,Solihull,60.809090909090905,1.9090909090909092
2015,E08000030,Walsall,55.7,2.1818181818181817
2015,E08000031,Wolverhampton,55.872727272727275,1.9090909090909092
2015,E08000032,Bradford,63.88181818181818,9.090909090909092
2015,E08000033,Calderdale,55.41818181818182,-1.2727272727272727
2015,E08000034,Kirklees,70.34545454545456,7.090909090909091
2015,E08000035,Leeds,59.07272727272727,0.7272727272727273
