time_period,new_la_code,la_name,all_pscore
2015,E09000032,Wandsworth,13.272727272727273
2015,E09000033,Westminster,16.545454545454547
2015,E10000002,Buckinghamshire,-0.8181818181818182
2015,E10000003,Cambridgeshire,-3.4545454545454546
2015,E10000006,Cumbria,-6.363636363636363
2015,E10000007,Derbyshire,-3.6363636363636362
2015,E10000008,Devon,-8.818181818181818
2015,E10000009,Dorset,-10.181818181818182
2015,E10000011,East Sussex,-11.727272727272727
2015,E10000012,Essex,-7.454545454545454
2015,E10000013,Gloucestershire,-7.818181818181818
2015,E10000014,Hampshire,-4.909090909090909
2015,E10000015,Hertfordshire,1.3636363636363635
2015,E10000016,Kent,-6.2727272727272725
2015,E10000017,Lancashire,-0.36363636363636365
2015,E10000018,Leicestershire,-1.8181818181818181
2015,E10000019,Lincolnshire,-2.090909090909091
2015,E10000020,Norfolk,-9.090909090909092
2015,E10000021,Northamptonshire,-2.727272727272727
2015,E10000023,North Yorkshire,-1.6363636363636365
2015,E10000024,Nottinghamshire,-1.8181818181818181
2015,E10000025,Oxfordshire,-3.909090909090909
2015,E10000027,Somerset,-8.545454545454545
2015,E10000028,Staffordshire,-1.4545454545454546
2015,E10000029,Suffolk,-4.181818181818182
2015,E10000030,Surrey,-3.6363636363636362
2015,E10000031,Warwickshire,-4.090909090909091
2015,E10000032,West Sussex,-8.636363636363637
2015,E10000034,Worcestershire,-2.727272727272727
2016,E06000001,Hartlepool,4.181818181818182
2016,E06000002,Middlesbrough,11.090909090909092
2016,E06000003,Redcar and Cleveland,5.909090909090909
2016,E06000004,Stockton-on-Tees,6.2727272727272725
2016,E06000005,Darlington,-2.6363636363636362
2016,E06000006,Halton,-3.272727272727273
2016,E06000007,Warrington,-1.8181818181818181
2016,E06000008,Blackburn with Darwen,6.181818181818182
2016,E06000009,Blackpool,10.272727272727273
2016,E06000010,"Kingston upon Hull, City of",1.2727272727272727
2016,E06000011,East Riding of Yorkshire,-1.5454545454545454
2016,E06000012,North East Lincolnshire,-8.363636363636363
2016,E06000013,North Lincolnshire,-6.636363636363637
2016,E06000014,York,-2.909090909090909
2016,E06000015,Derby,1.5454545454545454
2016,E06000016,Leicester,9.818181818181818
2016,E06000017,Rutland,-1.625
2016,E06000018,Nottingham,5.2727272727272725
2016,E06000019,"Herefordshire, County of",-7.545454545454546
2016,E06000020,Telford and Wrekin,-5.636363636363637
2016,E06000021,Stoke-on-Trent,4.090909090909091
2016,E06000022,Bath and North East Somerset,-6.636363636363637
2016,E06000023,"Bristol, City of",-5.818181818181818
2016,E06000024,North Somerset,-3.8181818181818183
2016,E06000025,South Gloucestershire,-8.090909090909092
2016,E06000026,Plymouth,-2.090909090909091
2016,E06000027,Torbay,-4.909090909090909
2016,E06000028,Bournemouth,-2.75
2016,E06000029,Poole,-3.0
2016,E06000030,Swindon,-11.909090909090908
2016,E06000031,Peterborough,-1.8181818181818181
2016,E06000032,Luton,12.363636363636363
2016,E06000033,Southend-on-Sea,-10.272727272727273
2016,E06000034,Thurrock,-10.75
2016,E06000035,Medway,-6.636363636363637
2016,E06000036,Bracknell Forest,-8.181818181818182
2016,E06000037,West Berkshire,-9.454545454545455
2016,E06000038,Reading,1.125
2016,E06000039,Slough,5.7272727272727275
2016,E06000040,Windsor and Maidenhead,-7.363636363636363
2016,E06000041,Wokingham,-1.5
2016,E06000042,Milton Keynes,4.0
2016,E06000043,Brighton and Hove,-8.636363636363637
2016,E06000044,Portsmouth,-13.1
2016,E06000045,Southampton,-5.363636363636363
2016,E06000046,Isle of Wight,0.09090909090909091
2016,E06000047,County Durham,-5.2727272727272725
2016,E06000049,Cheshire East,-4.7272727272727275
2016,E06000050,Cheshire West and Chester,-0.09090909090909091
2016,E06000051,Shropshire,-6.7272727272727275
2016,E06000052,Cornwall,-5.181818181818182
2016,E06000054,Wiltshire,-6.545454545454546
2016,E06000055,Bedford,-3.727272727272727
2016,E06000056,Central Bedfordshire,-5.454545454545454
2016,E06000057,Northumberland,-4.909090909090909
2016,E08000001,Bolton,0.7272727272727273
2016,E08000002,Bury,4.454545454545454
2016,E08000003,Manchester,6.181818181818182
2016,E08000004,Oldham,10.727272727272727
2016,E08000005,Rochdale,0.7272727272727273
2016,E08000006,Salford,0.6363636363636364
2016,E08000007,Stockport,-5.545454545454546
2016,E08000008,Tameside,-5.181818181818182
2016,E08000009,Trafford,2.090909090909091
2016,E08000010,Wigan,-0.6363636363636364
2016,E08000011,Knowsley,-11.454545454545455
2016,E08000012,Liverpool,3.3636363636363638
2016,E08000013,St. Helens,-0.7272727272727273
2016,E08000014,Sefton,-0.2727272727272727
2016,E08000015,Wirral,0.18181818181818182
2016,E08000016,Barnsley,2.090909090909091
2016,E08000017,Doncaster,-7.454545454545454
2016,E08000018,Rotherham,-2.1818181818181817
2016,E08000019,Sheffield,2.909090909090909
2016,E08000021,Newcastle upon Tyne,2.909090909090909
2016,E08000022,North Tyneside,2.375
2016,E08000023,South Tyneside,1.4545454545454546
2016,E08000024,Sunderland,4.454545454545454
2016,E08000025,Birmingham,7.909090909090909
2016,E08000026,Coventry,3.909090909090909
2016,E08000027,Dudley,3.090909090909091
2016,E08000028,Sandwell,9.272727272727273
2016,E08000029,Solihull,2.1818181818181817
2016,E08000030,Walsall,3.5454545454545454
2016,E08000031,Wolverhampton,7.7272727272727275
2016,E08000032,Bradford,9.090909090909092
2016,E08000033,Calderdale,0.0
2016,E08000034,Kirklees,3.8181818181818183
2016,E08000035,Leeds,0.6363636363636364
2016,E08000036,Wakefield,-3.5454545454545454
2016,E08000037,Gateshead,-2.0
2016,E09000001,City of London,
2016,E09000002,Barking and Dagenham,1.3636363636363635
2016,E09000003,Barnet,5.636363636363637
2016,E09000004,Bexley,0.25
2016,E09000005,Brent,17.75
2016,E09000006,Bromley,-4.0
2016,E09000007,Camden,11.363636363636363
2016,E09000008,Croydon,7.636363636363637
2016,E09000009,Ealing,14.125
2016,E09000010,Enfield,6.090909090909091
2016,E09000011,Greenwich,9.75
2016,E09000012,Hackney,11.818181818181818
2016,E09000013,Hammersmith and Fulham,12.363636363636363
2016,E09000014,Haringey,12.727272727272727
2016,E09000015,Harrow,16.272727272727273
2016,E09000016,Havering,-2.272727272727273
2016,E09000017,Hillingdon,10.090909090909092
2016,E09000018,Hounslow,6.454545454545454
2016,E09000019,Islington,13.25
2016,E09000020,Kensington and Chelsea,13.636363636363637
2016,E09000021,Kingston upon Thames,6.363636363636363
2016,E09000022,Lambeth,10.363636363636363
2016,E09000023,Lewisham,12.818181818181818
2016,E09000024,Merton,9.75
2016,E09000025,Newham,15.636363636363637
2016,E09000026,Redbridge,12.875
2016,E09000027,Richmond upon Thames,5.2727272727272725
2016,E09000028,Southwark,10.375
2016,E09000029,Sutton,4.25
2016,E09000030,Tower Hamlets,11.181818181818182
2016,E09000031,Waltham Forest,14.181818181818182
2016,E09000032,Wandsworth,14.272727272727273
2016,E09000033,Westminster,15.0
2016,E10000002,Buckinghamshire,-1.6363636363636365
2016,E10000003,Cambridgeshire,0.45454545454545453
2016,E10000006,Cumbria,-4.545454545454546
2016,E10000007,Derbyshire,-3.0
2016,E10000008,Devon,-9.272727272727273
2016,E10000009,Dorset,-10.272727272727273
2016,E10000011,East Sussex,-8.727272727272727
2016,E10000012,Essex,-7.363636363636363
2016,E10000013,Gloucestershire,-6.818181818181818
2016,E10000014,Hampshire,-4.7272727272727275
2016,E10000015,Hertfordshire,1.0
2016,E10000016,Kent,-5.7272727272727275
2016,E10000017,Lancashire,1.0909090909090908
2016,E10000018,Leicestershire,-1.2727272727272727
2016,E10000019,Lincolnshire,-2.1818181818181817
2016,E10000020,Norfolk,-9.454545454545455
2016,E10000021,Northamptonshire,-1.0909090909090908
2016,E10000023,North Yorkshire,-0.6363636363636364
2016,E10000024,Nottinghamshire,-5.090909090909091
2016,E10000025,Oxfordshire,-4.454545454545454
2016,E10000027,Somerset,-7.545454545454546
2016,E10000028,Staffordshire,-1.0
2016,E10000029,Suffolk,-4.181818181818182
2016,E10000030,Surrey,-4.545454545454546
2016,E10000031,Warwickshire,-0.6363636363636364
2016,E10000032,West Sussex,-8.818181818181818
2016,E10000034,Worcestershire,-2.0
2017,E06000001,Hartlepool,9.545454545454545
2017,E06000002,Middlesbrough,5.363636363636363
2017,E06000003,Redcar and Cleveland,11.545454545454545
2017,E06000004,Stockton-on-Tees,3.125
2017,E06000005,Darlington,-1.5454545454545454
