TOWN11CD,Education Score
E35000565,-0.025326314
E35000567,8.094803358
E35000569,-0.206075117
E35000570,3.689730382
E35000572,0.174191612
E35000573,-6.484121394
E35000574,-1.308650056
E35000575,-4.869807195
E35000580,-0.256715434
E35000582,1.35443212
E35000583,-0.181175569
E35000588,1.698740678
E35000589,0.566863572
E35000590,1.918291585
E35000591,0.974698793
E35000595,1.96719143
E35000597,-5.126676349
E35000601,-3.08185144
E35000603,-2.452282148
E35000605,-3.174883143
E35000608,-1.599978013
E35000610,2.161715842
E35000618,-0.488017488
E35000619,-1.950557637
E35000621,-3.772493901
E35000624,-0.16783077
E35000629,2.649834534
E35000631,0.549953241
E35000633,-0.080421657
E35000634,2.820617446
E35000635,-2.286163498
E35000639,-2.281555604
E35000640,-0.761057801
E35000644,3.173359701
E35000648,-4.082898176
E35000652,1.117383847
E35000657,-0.854982582
E35000660,5.397228742
E35000666,-5.903708401
E35000668,3.194589501
E35000669,-2.174272293
E35000672,-0.686227177
E35000674,-3.370296135
E35000676,5.470582132
E35000681,3.950217044
E35000682,-10.02801511
E35000684,-5.934594888
E35000688,-3.830908388
E35000689,-6.855157827
E35000690,-3.409339525
E35000692,-4.748883703
E35000697,-7.692514402
E35000699,0.400143569
E35000700,2.11672004
E35000703,-0.779019226
E35000707,-1.490068056
E35000708,3.8292772
E35000715,-4.099446778
E35000718,-1.276549602
E35000719,-0.125421126
E35000726,2.928140371
E35000727,2.678125793
E35000728,-4.221030255
E35000731,0.25079604
E35000734,-1.049645206
E35000735,-3.310271828
E35000745,-3.291930369
E35000753,7.195924607
E35000754,4.420683682
E35000756,6.109889871
E35000757,0.334593472
E35000760,-3.697009155
E35000761,0.653551126
E35000768,0.643969199
E35000772,2.574817445
E35000775,-4.902350613
E35000776,0.313167691
E35000778,-0.471521633
E35000779,1.489914038
E35000780,0.885540404
E35000781,-1.876031408
E35000785,-1.388698309
E35000787,-1.529208741
E35000789,-2.716984223
E35000793,0.891824158
E35000797,7.634311709
E35000801,-0.604691758
E35000803,0.877554795
E35000804,0.26763157
E35000811,-3.408960683
E35000813,5.501626941
E35000814,0.669429645
E35000817,-1.195164287
E35000829,-4.380328788
E35000831,-4.782945513
E35000833,-3.41080653
E35000835,0.498256597
E35000841,-1.237611184
E35000842,4.850637616
E35000843,-7.571466876
E35000848,5.682268239
E35000850,1.928356753
E35000853,0.608627229
E35000869,5.469808967
E35000872,-0.644104316
E35000874,-4.96851575
E35000876,-2.476689795
E35000877,-3.599286966
E35000879,-3.565065023
E35000880,-4.449183084
E35000882,-5.351157001
E35000883,0.48103356
E35000885,1.900294948
E35000888,-2.001725366
E35000892,-0.295645761
E35000897,1.00135873
E35000899,5.531986486
E35000901,8.629809538
E35000902,-3.639792553
E35000904,6.147536078
E35000906,4.536482226
E35000908,-2.284995953
E35000910,-4.851302162
E35000913,2.375010926
E35000923,-5.317624146
E35000924,4.323864549
E35000925,-3.008213363
E35000926,-2.650602856
E35000930,-1.979964028
E35000932,7.854161076
E35000933,0.000210947
E35000934,-1.60944439
E35000938,3.655602055
E35000940,-3.268292547
E35000950,-3.242825753
E35000952,-2.90361017
E35000953,0.379043714
E35000961,-3.220951054
E35000962,1.211313826
E35000963,-0.270585313
E35000964,-1.473308801
E35000965,0.000845898
E35000969,3.311754688
E35000970,-0.730642322
E35000975,4.42155333
E35000976,-0.004594232
E35000979,-1.346962322
E35000985,3.307546809
E35000986,-7.603865176
E35000987,1.245370201
E35000992,0.083500519
E35000993,1.710624166
E35000995,-6.328261488
E35000997,4.262292065
E35000998,-2.61960053
E35001001,-0.694710135
E35001004,1.786845764
E35001007,-3.545088644
E35001011,-0.267530379
E35001012,0.962156076
E35001013,-0.018603517
E35001014,3.635315029
E35001027,-0.591112362
E35001028,1.065133309
E35001036,-2.97809053
E35001040,-3.51396738
E35001042,-0.350180645
E35001045,3.578455606
E35001053,5.137389166
E35001055,-2.290606339
E35001056,-3.02572797
E35001059,-3.931229503
E35001061,0.857448327
E35001065,-1.4383569
E35001066,-6.323355662
E35001069,3.921401314
E35001070,-3.027883777
E35001073,-5.199863605
E35001075,-7.990272297
E35001085,-2.139068773
E35001086,-1.904359509
E35001090,-3.202404945
E35001094,-7.115271286
E35001095,0.991929859
E35001097,-0.386972774
E35001099,2.818999959
E35001102,-3.421269258
E35001106,-2.967645079
E35001109,-0.616120391
E35001112,-0.946619749
E35001114,2.611989787
E35001115,-1.615392673
E35001116,-4.049889397
E35001118,-2.963099327
E35001121,3.491721847
E35001127,6.982570241
E35001128,-2.800825142
E35001129,-0.963323673
E35001131,1.800207789
E35001132,2.385815574
E35001137,0.201122502
E35001140,4.995673342
E35001141,-4.069808241
E35001145,3.26125954
E35001146,-0.978485426
E35001147,0.070505385
E35001149,-3.483361212
E35001152,1.231928342
E35001153,2.237234508
E35001154,8.473642984
E35001155,-0.649945761
E35001157,-4.920676695
E35001158,-1.458694426
E35001159,-1.178336473
E35001160,-5.449297195
E35001161,-0.392386733
E35001162,0.665368332
E35001164,5.584874286
E35001165,2.073259572
E35001166,-1.443434467
E35001167,-1.847393715
E35001171,0.032916434
E35001175,-3.411047708
E35001176,-3.205253713
E35001178,5.155674387
E35001179,-1.908467207
E35001180,5.195171433
E35001181,0.916562557
E35001182,-0.395418516
E35001183,5.8087493
E35001185,-0.461972757
E35001186,1.890288135
E35001187,1.703262001
E35001190,-2.625444358
E35001191,-0.145896397
E35001192,-1.835384484
E35001194,-3.251116087
E35001195,0.038020156
E35001196,-1.693627963
E35001197,-1.391006749
E35001198,6.202010294
E35001199,-0.315461471
E35001200,1.949313365
E35001201,-2.333315523
E35001202,-3.37095575
E35001203,0.420375669
E35001205,-1.278183798
E35001208,5.694851601
E35001210,2.101644111
E35001211,-3.503505917
E35001213,1.179483614
E35001214,-0.044013779
E35001215,-4.063383026
E35001216,-1.695798977
E35001217,3.419350142
E35001218,4.482291861
E35001219,-1.907327933
E35001220,0.795862772
E35001221,5.864021688
E35001222,-1.21953945
E35001223,2.607961881
E35001224,-4.196862089
E35001225,-1.678143653
E35001227,-7.104299744
E35001228,-2.864618092
E35001229,-3.105063727
E35001230,-0.113529264
E35001232,5.539858751
E35001234,-6.037043767
E35001235,8.687991592
E35001236,-0.807955472
E35001237,-2.868483853
E35001238,-2.362019947
E35001239,-0.337151444
E35001240,9.301347301
E35001241,-1.399291373
E35001242,-1.167026008
E35001244,-5.403816227
E35001245,3.797861349
E35001246,-0.014243504
E35001248,-1.551539762
E35001249,3.708287406
E35001250,-2.178895241
E35001251,-4.05106543
E35001252,-4.836415788
E35001253,-3.005746412
E35001256,-1.843068303
E35001257,-1.499777889
E35001258,-2.833260415
E35001260,-1.845804349
E35001261,-3.311315437
E35001263,-5.304883474
E35001264,2.956932707
E35001266,-0.607509386
E35001267,-2.380949821
E35001268,-4.524893803
E35001270,0.87953903
E35001272,-0.019761952
E35001276,6.194485959
E35001278,-1.69002387
E35001279,6.08208782
E35001281,-2.933200988
E35001282,2.260009885
E35001283,3.867275387
E35001284,-5.41965103
E35001286,1.754186025
E35001287,1.42390104
E35001288,0.94857465
E35001290,8.401826191
E35001291,-4.430811734
E35001292,-2.772802761
E35001293,-7.275898747
E35001295,2.051194602
E35001297,4.063559848
E35001298,3.941592707
E35001299,0.812772287
E35001301,2.864376637
E35001302,1.810213402
E35001303,-3.075401189
E35001305,-0.192779991
E35001306,-3.134681857
E35001307,-2.608572746
E35001308,1.184695615
E35001311,0.707683043
E35001312,-4.509175593
E35001313,-0.921340992
E35001314,0.939761686
E35001315,-4.248263303
E35001316,-4.513907919
E35001318,-1.370497847
E35001320,-4.230230033
E35001321,4.226679705
E35001322,-1.649922599
E35001323,1.863838366
E35001324,1.848750453
E35001325,0.105832143
E35001326,0.269932299
E35001327,-1.622388812
E35001329,-2.558529299
E35001332,-0.307191378
E35001333,-3.030755738
E35001334,-2.974283833
E35001335,-3.775531531
E35001337,-3.510452167
E35001340,1.845068827
E35001341,-1.80935831
E35001345,3.478766662
E35001346,1.887360609
E35001347,-0.646814835
E35001348,-2.725442527
E35001349,5.85280724
E35001350,-2.735907801
E35001351,5.578225985
E35001352,1.590340639
E35001353,1.065438284
E35001354,-0.422807617
E35001356,-3.910234467
E35001357,-0.347520473
E35001358,-2.106119887
E35001359,2.520143131
E35001360,0.535576067
E35001361,-6.719105219
E35001362,-0.572707818
E35001363,-0.730646543
E35001365,-2.719940087
E35001366,1.662574397
E35001367,4.536116811
E35001370,3.382407391
E35001373,-4.122655533
E35001374,6.131528057
E35001375,8.608192498
E35001376,-1.69358297
E35001378,1.641847199
E35001379,0.54457022
E35001380,-4.786682178
E35001381,-8.709049788
E35001385,-2.322986391
E35001386,-0.181586177
E35001387,0.495638768
E35001388,1.415224113
E35001389,-2.221002178
E35001391,-4.322467679
E35001392,0.79431068
E35001393,5.236373241
E35001395,-5.232152906
E35001397,-1.450462853
E35001398,-2.138374166
E35001399,-1.598266913
E35001400,-2.499399669
E35001401,-1.889132946
E35001402,0.625556623
E35001404,-5.607341942
E35001405,1.211654963
E35001407,-2.026479746
E35001409,6.106349368
E35001411,1.695496391
E35001413,0.670209623
E35001414,-0.814707483
E35001415,1.270060363
E35001416,-2.006579212
E35001417,8.137930036
E35001418,-0.911150371
E35001419,5.360138644
E35001421,4.140431579
E35001423,7.06093098
E35001424,-7.336425751
E35001425,-2.294227405
E35001427,-0.237026997
E35001428,-3.027107029
E35001432,5.606123897
E35001435,-1.216291898
E35001436,1.087110993
E35001437,-2.140764342
E35001438,-0.934913142
E35001441,-2.146896435
E35001442,-3.907574596
E35001444,-1.750225905
E35001446,-4.396909731
E35001447,-0.892601732
E35001448,-0.301092555
E35001451,-3.678350423
E35001452,-0.246790008
E35001453,-2.008851089
E35001454,-0.801266586
E35001456,0.39812194
E35001457,-3.653296949
E35001458,-3.594334095
E35001459,4.813053992
E35001461,1.163167949
E35001462,-0.88303807
E35001463,0.671596851
E35001464,-1.30671782
E35001468,-3.688235156
E35001470,-2.214736577
E35001471,5.203911561
E35001472,-2.089855549
E35001474,0.435286387
E35001476,-5.445295263
E35001479,-4.220376739
E35001480,4.453122958
E35001481,-2.41757272
E35001482,-4.095912481
E35001485,-3.782993531
E35001486,-2.169529438
E35001487,-0.734586109
E35001490,3.357512952
E35001491,-3.484130585
E35001492,5.319393171
E35001493,-2.359151642
E35001494,-4.984540922
E35001496,-1.510543843
E35001497,-1.920184466
E35001498,-2.501696064
E35001499,4.452360301
E35001500,9.860231636
E35001501,0.399812927
E35001502,2.486984227
E35001503,1.564259381
E35001507,1.266553731
E35001516,0.341824042
E35001517,-0.29414288
K06000004,-0.81093526
