time_period,new_la_code,la_name,all_pscore
2020,E09000033,Westminster,11.0
2020,E10000002,Buckinghamshire,9.88888888888889
2020,E10000003,Cambridgeshire,2.793103448275862
2020,E10000006,Cumbria,-3.2758620689655173
2020,E10000007,Derbyshire,4.896551724137931
2020,E10000008,Devon,-3.8620689655172415
2020,E10000011,East Sussex,-4.535714285714286
2020,E10000012,Essex,0.8620689655172413
2020,E10000013,Gloucestershire,1.8620689655172413
2020,E10000014,Hampshire,2.2413793103448274
2020,E10000015,Hertfordshire,6.9655172413793105
2020,E10000016,Kent,0.13793103448275862
2020,E10000017,Lancashire,0.3793103448275862
2020,E10000018,Leicestershire,1.6206896551724137
2020,E10000019,Lincolnshire,3.8275862068965516
2020,E10000020,Norfolk,-5.448275862068965
2020,E10000023,North Yorkshire,-3.0344827586206895
2020,E10000024,Nottinghamshire,-1.793103448275862
2020,E10000025,Oxfordshire,0.06896551724137931
2020,E10000027,Somerset,-0.9285714285714286
2020,E10000028,Staffordshire,3.7241379310344827
2020,E10000029,Suffolk,-1.4137931034482758
2020,E10000030,Surrey,0.6896551724137931
2020,E10000031,Warwickshire,0.20689655172413793
2020,E10000032,West Sussex,-1.7241379310344827
2020,E10000034,Worcestershire,-0.06896551724137931
